Periodo,Área geográfica,Indicador,DATA
2000 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",66.5
2000 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",71.3
2000 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",68.7
2000 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",73
2000 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",71.9
2000 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",71.9
2000 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",72.7
2000 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",72.7
2000 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74.5
2000 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74
2000 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",75.4
2001 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",71.9
2001 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",68.5
2001 Mar,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74.3
2001 Abr,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",71.8
2001 May,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",75
2001 Jun,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74.7
2001 Jul,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",73.3
2001 Ago,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74.4
2001 Sep,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",73.2
2001 Oct,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",75.7
2001 Nov,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",74.5
2001 Dic,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",76.6
2002 Ene,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",72.2
2002 Feb,0 Estados Unidos Mexicanos,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado, base 2018 > Series Originales > Índice de volumen físico > Total (Índice de volumen físico 2018 = 100) Mensual",68.4
