ds,unique_id,y
2025-05-19,consumo,111.7
2025-06-19,consumo,109.6
2025-07-19,consumo,113.8
2025-08-19,consumo,114.1
2025-09-19,consumo,112.9
2025-10-19,consumo,116.9
1993-01-19,inversion,53.2
1993-02-19,inversion,56.3
1993-03-19,inversion,58.2
1993-04-19,inversion,53.7
1993-05-19,inversion,52.5
1993-06-19,inversion,50.3
1993-07-19,inversion,54.3
1993-08-19,inversion,58.5
1993-09-19,inversion,58.2
1993-10-19,inversion,59.5
1993-11-19,inversion,63.8
1993-12-19,inversion,69.8
1994-01-19,inversion,61.2
1994-02-19,inversion,64.4
1994-03-19,inversion,66.7
1994-04-19,inversion,65.2
1994-05-19,inversion,61.3
1994-06-19,inversion,60.8
1994-07-19,inversion,63.4
1994-08-19,inversion,69.0
1994-09-19,inversion,66.2
1994-10-19,inversion,66.9
1994-11-19,inversion,68.0
1994-12-19,inversion,66.5
1995-01-19,inversion,51.0
1995-02-19,inversion,42.3
1995-03-19,inversion,43.3
1995-04-19,inversion,38.3
1995-05-19,inversion,36.3
1995-06-19,inversion,36.9
1995-07-19,inversion,38.8
1995-08-19,inversion,42.4
1995-09-19,inversion,43.1
1995-10-19,inversion,43.3
1995-11-19,inversion,46.4
1995-12-19,inversion,52.0
1996-01-19,inversion,47.7
1996-02-19,inversion,46.1
1996-03-19,inversion,46.1
1996-04-19,inversion,44.9
1996-05-19,inversion,46.6
1996-06-19,inversion,45.9
1996-07-19,inversion,51.4
1996-08-19,inversion,54.3
1996-09-19,inversion,52.9
1996-10-19,inversion,55.7
1996-11-19,inversion,55.8
1996-12-19,inversion,61.9
1997-01-19,inversion,54.0
1997-02-19,inversion,53.8
1997-03-19,inversion,51.2
1997-04-19,inversion,55.8
1997-05-19,inversion,55.2
1997-06-19,inversion,53.8
1997-07-19,inversion,59.0
1997-08-19,inversion,63.4
1997-09-19,inversion,62.3
1997-10-19,inversion,62.2
1997-11-19,inversion,64.2
1997-12-19,inversion,67.8
1998-01-19,inversion,60.5
1998-02-19,inversion,64.8
1998-03-19,inversion,65.9
1998-04-19,inversion,59.7
1998-05-19,inversion,62.8
1998-06-19,inversion,59.5
1998-07-19,inversion,65.0
1998-08-19,inversion,67.8
1998-09-19,inversion,68.8
1998-10-19,inversion,66.7
1998-11-19,inversion,65.8
1998-12-19,inversion,71.5
1999-01-19,inversion,65.4
1999-02-19,inversion,67.1
1999-03-19,inversion,69.2
1999-04-19,inversion,62.7
1999-05-19,inversion,63.5
1999-06-19,inversion,63.1
1999-07-19,inversion,66.2
1999-08-19,inversion,71.3
1999-09-19,inversion,69.8
1999-10-19,inversion,67.5
1999-11-19,inversion,71.6
1999-12-19,inversion,76.5
2000-01-19,inversion,68.0
2000-02-19,inversion,71.2
2000-03-19,inversion,71.2
2000-04-19,inversion,66.1
2000-05-19,inversion,69.0
2000-06-19,inversion,66.6
2000-07-19,inversion,70.7
2000-08-19,inversion,77.8
2000-09-19,inversion,73.2
2000-10-19,inversion,71.8
2000-11-19,inversion,74.5
2000-12-19,inversion,73.4
2001-01-19,inversion,66.0
2001-02-19,inversion,65.8
2001-03-19,inversion,67.6
2001-04-19,inversion,60.8
2001-05-19,inversion,62.7
2001-06-19,inversion,60.8
2001-07-19,inversion,66.6
2001-08-19,inversion,71.5
2001-09-19,inversion,67.7
2001-10-19,inversion,65.5
2001-11-19,inversion,69.8
2001-12-19,inversion,71.1
2002-01-19,inversion,62.4
2002-02-19,inversion,62.3
2002-03-19,inversion,59.1
2002-04-19,inversion,63.7
2002-05-19,inversion,62.3
2002-06-19,inversion,59.0
2002-07-19,inversion,65.6
2002-08-19,inversion,68.5
2002-09-19,inversion,67.0
2002-10-19,inversion,66.8
